año,noticiero,URL,letras,palabras,oraciones,parrafos
2016,eju,https://eju.tv/2016/03/caso-zapata-abogado-evo-morales-dice-hijo-materialmente-no-existe/,1914,409,14,1
2016,lostiempos,https://www.lostiempos.com/actualidad/nacional/20160925/hogar-ancianos-recibe-distincion-simbolos-patrios,1356,288,10,8
2016,eju,https://eju.tv/2016/01/los-oficialistas-les-veo-preocupados-alterados-nerviosos-dice-reyes-villa-desde-exilio/,2526,495,10,1
2016,mediaticadigital,https://www.mediaticadigital.com.ar/nota/14855-preocupante-de-casi-500-policias-solo-163-aprueban-test-psicologico/,1194,260,13,7
2016,eju,https://eju.tv/2016/08/gracias-santa-cruz-cobijar-fuerzas-armadas-comandante-gonzalo-duran/,1071,221,6,1
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_04/nt160403/principal.php?n=90&-santa-cruz-eligio-a-sus-soberanas,445,90,3,2
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_09/nt160904/nacional.php?n=36&-movilizacion-por-conservacion-de-patrimonio-natural-en-santa-cruz,2459,490,11,7
2016,la-razon,https://www.la-razon.com/economia/2016/02/14/otras-entidades-se-disolvieron-voluntariamente-2/,1704,344,15,9
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_05/nt160522/nacional.php?n=47&-ejecutivo-inicio-investigacion-de-la-fiesta-del-gran-poder,2573,503,17,8
2016,opinion,https://www.opinion.com.bo/articulo/informe-especial/bolivianos-empleo-viven-asistencia-argentina-espa-ntilde/20160306194600672637.html,7938,1587,68,50
2016,opinion,https://www.opinion.com.bo/articulo/tendencias/bolivia-triunfa-anticr-eacute-tico-pasanaku/20161023191500671651.html,3624,760,35,23
2016,eju,https://eju.tv/2016/09/quemas-ilegales-ahogan-al-bosque-en-santa-cruz-mientras-las-autoridades-se-miran/,7070,1501,67,1
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_02/nt160228/nacional.php?n=45&-de-364-rios-tres-amenazan-la-paz,2400,474,16,11
2016,cubanet,https://www.cubanet.org/una-calamidad-llamada-evo/,3281,695,49,13
2016,eju,https://eju.tv/2016/03/39-aserraderos-cerrado-estan-paralizados-santa-cruz/,2796,578,18,11
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_04/nt160410/principal.php?n=90&-mas-risas-locuras-y-diversion-en-bigote,413,86,3,3
2016,eju,https://eju.tv/2016/12/santa-cruz-tiene-medio-millon-de-migrantes/,6154,1277,43,1
2016,pub,https://www.pub.eldiario.net/noticias/2016/2016_07/nt160703/nacional.php?n=61&-9-de-10-ninios-adolecen-de-caries-dental-en-la-ciudad,2263,482,16,10
2016,urgente,https://www.urgente.bo/noticia/lavadores-de-d%C3%B3lares-son-100-bolivianos-los-reciben-en-sus-cuentas,2982,613,19,15
2016,opinion,https://www.opinion.com.bo/articulo/ramona/combate-marcelo-quiroga-santa-cruz/20160313173800672678.html,8543,1877,69,13
2016,opinion,https://www.opinion.com.bo/articulo/informe-especial/adultos-mayores-colonia-sienten-como-hogar/20160710192100673601.html,3094,644,27,20
2016,eju,https://eju.tv/2016/02/por-vez-primera-los-bolivianos-votan-por-reformar-la-cpe/,4048,810,29,12
2016,noticias,https://noticias.unitel.bo/hemeroteca/presidente-morales-felicita-al-vice-y-su-esposa-por-embarazo-via-twitter-JBUN13847,905,201,14,6
2016,opinion,https://www.opinion.com.bo/articulo/informe-especial/jampiri-usa-naturaleza-devolver-equilibrio-persona/20161127191400671892.html,4055,825,46,31
2016,eju,https://eju.tv/2016/05/prestatarios-ahorristas-exmutual-la-paz-haran-operaciones-mercantil-santa-cruz/,1072,223,10,4
2016,eju,https://eju.tv/2016/11/preocupacion-por-la-deforestacion-en-el-urubo/,4347,935,31,14
2016,opinion,https://www.opinion.com.bo/articulo/informe-especial/transporte-circula-mal-estado/20160117160900672268.html,685,137,6,5
2016,elperiodico-digital,https://www.elperiodico-digital.com/2016/12/04/salamanca-es-tomado-preso-y-es-obligado-a-renunciar/,3086,595,23,9
2016,elperiodico-digital,https://www.elperiodico-digital.com/2016/08/28/cual-es-la-cerveza-mas-consumida-en-tarija/,3393,751,23,14
2016,eju,https://eju.tv/2016/05/jazmin-duran-chochea-con-su-primogenito/,991,243,9,5
2016,eju,https://eju.tv/2016/02/fondo-protege-al-ahorrista-bolivia-ya-acumulo-la-suma-us-530-mm/,4928,1003,34,19
2016,opinion,https://www.opinion.com.bo/articulo/informe-especial/maestros-sienten-discriminados-recibir-t-iacute-tulos-diferenciados/20160131062600672375.html,3203,639,26,22
