año,noticiero,URL,letras,palabras,oraciones,parrafos
2018,opinion,https://www.opinion.com.bo/articulo/informe-especial/venezolanos-ingresan-bolivia-como-turistas-tienen-prohibido-trabajar/20180325105300677176.html,3735,745,27,16
2018,opinion,https://www.opinion.com.bo/articulo/cochabamba/80-f-aacute-rmacos-fueron-retirados-mercado-ntilde/20180204204800603779.html,3687,716,39,22
2018,eju,https://eju.tv/2018/04/techo-e-paja-dice-que-prefiere-olvidar-el-pasado-y-que-no-le-gustan-los-lujos/,1594,347,16,6
2018,eju,https://eju.tv/2018/12/virupaya-la-localidad-creada-por-las-mafias/,1835,363,17,5
2018,opinion,https://www.opinion.com.bo/articulo/el-pais/sinohydro-confirma-robo-dens-iacute-metro-nuclear-da-detalles-aparato/20180722080300620623.html,1084,222,8,5
2018,opinion,https://www.opinion.com.bo/articulo/cochabamba/%EF%BB%BFveh-iacute-culos-antes-1990-usan-repuestos-adaptados-garant-iacute/20180902200500624988.html,3275,703,31,20
2018,reduno,https://www.reduno.com.bo/noticias/2018-2-11-21-0-0-mas-de-un-centenar-de-emojis-llegaran-a-whatsapp,840,169,11,5
2018,opinion,https://www.opinion.com.bo/articulo/ramona/ldquo-grotesca-parodia-rdquo-educaci-oacute-n-boliviana/20180826173800678188.html,4363,889,41,11
2018,opinion,https://www.opinion.com.bo/articulo/el-pais/morales-entrega-coliseo-cerrado-colegio-militar-ej-eacute-rcito/20180218060800604873.html,969,190,7,6
2018,eju,https://eju.tv/2018/04/real-esta-cero-deudas-ahora-no-debe-nada/,3213,748,32,11
2018,eju,https://eju.tv/2018/10/bolivia-gana-medalla-de-bronce-en-olimpiada-de-astronomia/,2247,429,15,1
2018,eju,https://eju.tv/2018/10/rodriguez-veltze-asegura-que-se-dara-cuenta-de-los-costos-que-significo-el-juicio-ante-la-haya/,808,177,7,4
2018,urgente,https://www.urgente.bo/noticia/escolares-de-tarija-potos%C3%AD-oruro-y-la-paz-retornan-clases-este-lunes-25,799,166,5,4
2018,urgente,https://www.urgente.bo/noticia/victoria-l%C3%B3pez-lo-que-garc%C3%ADa-mesa-me-debe-es-no-poder-haber-sido-ser-mam%C3%A1,2065,437,14,7
2018,elpais,https://elpais.bo/tarija/20180401_los-violines-y-el-zapateo-acompanan-la-pascua-florida.html,5611,1218,50,24
2018,la-epoca,https://www.la-epoca.com.bo/2018/07/01/bolivia-impulsa-la-produccion-de-alimentos-ecologicos/,1494,286,9,8
2018,reduno,https://www.reduno.com.bo/noticias/2018-7-8-0-0-0--gabriela-zegarra-obsesionada-con-instagram,995,209,10,6
2018,reduno,https://www.reduno.com.bo/nota/joven-secuestrado-fue-victimado-con-disparos-en-la-cabeza-por-delincuentes-brasilenos-20181216161627,1989,422,13,7
2018,opinion,https://www.opinion.com.bo/articulo/informe-especial/alba-ntilde-iles-exigen-rituales-cada-construcci-oacute-n/20181125181500678806.html,4276,912,47,23
2018,eju,https://eju.tv/2018/01/dockweiler-revela-que-eeuu-solicito-ayuda-a-bolivia-para-implementacion-de-teleferico-en-miami/,1595,335,8,7
2018,opinion,https://www.opinion.com.bo/articulo/informe-especial/departamentos-pa-iacute-s-violencia-familiar-crece/20180415182600677331.html,3160,697,27,19
2018,urgente,https://www.urgente.bo/noticia/incendio-en-pastizales-de-viru-viru-alerta-bomberos-de-santa-cruz,868,181,6,6
2018,elpais,https://elpais.bo/economia/20181104_rentismo-en-bolivia-disminuye-el-bienestar-y-la-produccion.html,4325,821,20,16
2018,eju,https://eju.tv/2018/10/us-33-mil-millones-de-perdida-en-10-anos-por-enclaustramiento/,3865,752,29,2
2018,urgente,https://www.urgente.bo/noticia/interceptan-avioneta-con-droga-en-brasil-donde-iba-bordo-supuesto-militar-boliviano,960,190,7,6
2018,eju,https://eju.tv/2018/03/personajes-clave-en-la-demanda-de-bolivia-contra-chile/,2879,524,20,2
2018,eabolivia,https://www.eabolivia.com/blogs/25470-portabilidad-numerica-en-bolivia-rige-desde-el-lunes.html,1109,227,5,5
2018,eju,https://eju.tv/2018/01/indignacion-en-cochabamba-pandillero-que-quemo-vivo-a-un-adolescente-recibe-leve-condena/,2167,487,31,3
2018,reduno,https://www.reduno.com.bo/nota/2018-10-14-21-0-0-periodista-argentino-llama-perro-a-lampe-y-rompe-su-camiseta-de-bolivia,1540,324,10,7
2018,opinion,https://www.opinion.com.bo/articulo/informe-especial/12-aciertos-errores-gobierno-morales/20180121185400676709.html,5058,1046,43,27
2018,reduno,https://www.reduno.com.bo/nota/2018-9-9-21-0-0-en-cochabamba-escenifican-revuelta-del-14-de-septiembre-de-1810,726,143,5,3
2018,urgente,https://www.urgente.bo/noticia/jefe-militar-iran%C3%AD-comandante-de-ffaa-tenemos-una-alta-estima-bolivia-por-su,1130,247,6,6
