Year,Source,URL,Letters,Words,Sentences,Paragraphs
2011,eju,https://eju.tv/2011/09/colonizadores-y-brasileos-invaden-parques-y-reservas-forestales-en-bolivia/,2529,492,18,14
2011,lostiempos,https://www.lostiempos.com/actualidad/nacional/20110522/primer-santo-boliviano-comenzo-proceso-beatificar-tito-yupanqui,2532,527,20,15
2011,lostiempos,https://www.lostiempos.com/actualidad/economia/20110227/japon-compraria-zinc-metalico-pero-no-le-interesa-instalar-fundiciones,2793,556,19,16
2011,opinion,https://www.opinion.com.bo/articulo/informe-especial/oruro-fiesta-mayor-folklore-boliviano/20110306195600660513.html,2574,542,22,18
2011,lostiempos,https://www.lostiempos.com/actualidad/economia/20111218/ende-preve-usar-red-brasil-llevar-energia-pando,2578,499,12,11
2011,opinion,https://www.opinion.com.bo/articulo/informe-especial/cochabamba-sufrio-grandes-crisis/20110220185100660383.html,2148,456,24,15
2011,opinion,https://www.opinion.com.bo/articulo/ramona/el-compadre-esta-vivo/20111120150900660171.html,4063,850,32,7
2011,eju,https://eju.tv/2011/01/un-gobierno-impopular/,1985,413,13,2
2011,opinion,https://www.opinion.com.bo/articulo/tendencias/%EF%BB%BF-bolivia-necesita-donantes/20110410192800660771.html,2222,442,13,17
2011,lostiempos,https://www.lostiempos.com/actualidad/economia/20110529/margarita-puede-producir-3-millones-mcd-gas,965,192,7,5
2011,opinion,https://www.opinion.com.bo/articulo/el-pais/minera-sinchi-wayra-estrenara-nueva-modalidad-contratos-estado/20111218132300389545.html,2067,431,19,10
2011,eju,https://eju.tv/2011/04/bolivia-busca-tener-tres-santos/,4551,944,49,19
2011,eju,https://eju.tv/2011/03/muere-jefe-militar-que-piloteaba-el-helicptero-del-presidente-morales/,2618,539,18,14
2011,lostiempos,https://www.lostiempos.com/actualidad/economia/20110911/tejidos-bolivia-llegan-europa,1856,377,15,11
2011,eluniversal,https://www.eluniversal.com.co/mundo/2011/11/21/bolivia-propone-ajustes-a-convenio-antidroga-con-brasil-y-eeuu/,1560,306,16,1
2011,bbc,https://www.bbc.com/mundo/noticias/2011/01/110116_previa_encuentro_cancilleres_bolivia_chile_lr,3814,788,29,21
2011,opinion,https://www.opinion.com.bo/articulo/informe-especial/escasea-oro-cochabamba-precio-joyas-sube/20110925184400659793.html,3040,676,26,22
2011,opinion,https://www.opinion.com.bo/articulo/ramona/la-estela-del-trio-apolo/20110904192100659686.html,4457,894,34,16
2011,opinion,https://www.opinion.com.bo/articulo/el-pais/estudio-advierte-bolivia-expuesto-terremoto-89-grados/20110508173800398088.html,3724,748,22,18
2012,ecuavisa,https://www.ecuavisa.com/mundo/el-che-casi-muere-en-el-lago-titicaca-en-1953-EVEC15503,1642,359,11,9
2012,eju,https://eju.tv/2012/09/en-bolivia-hay-seis-zonas-con-riesgo-de-actividades-ssmicas/,5906,1271,55,22
2012,lostiempos,https://www.lostiempos.com/actualidad/economia/20120826/bolivia-es-uno-peores-paises-hacer-negocios,1873,386,9,5
2012,lostiempos,https://www.lostiempos.com/actualidad/economia/20120701/bolivia-aun-no-tiene-plan-aprovechar-corredor-bioceanico,2449,450,12,11
2012,lostiempos,https://www.lostiempos.com/tendencias/bienestar/20120226/semana-del-salto-busca-frenar-extincion-ranas,2775,553,21,16
2012,opinion,https://www.opinion.com.bo/articulo/policial/cae-boliviano-antonio-roca-pez-gordo-narcotrafico-paraguay/20121111230200437745.html,1968,397,19,11
2012,eju,https://eju.tv/2012/04/malestar-en-brasil-por-la-anulacin-del-contrato-con-oas/,2283,475,15,3
2012,opinion,https://www.opinion.com.bo/articulo/informe-especial/observatorio-astronomico-afirma-21-solo-sera-dia-mas-largo-ano/20121216195300663313.html,4012,857,29,17
2012,eju,https://eju.tv/2012/11/bolivia-exportaciones-de-4-minerales-bajan-en-volumen-y-en-valor/,1940,445,12,10
2012,opinion,https://www.opinion.com.bo/articulo/mundo/47-bases-militares-extranjeras-america-latina/20120520210600417451.html,8111,1648,62,38
2012,opinion,https://www.opinion.com.bo/articulo/cochabamba/fiesta-urkupina-expresion-unidad-diversidad/20120819202800428908.html,955,179,7,3
2012,opinion,https://www.opinion.com.bo/articulo/el-pais/incluyen-clinicas-hospitales-responder-mala-praxis-medica/20120916214600431917.html,7894,1618,43,36
2012,eju,https://eju.tv/2012/09/bolivia-est-mejor-en-crditos-de-vivienda-que-pases-vecinos/,3275,678,25,14
